dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750055,24.979000,0.000148,0.014773,0.738636,36.931818,0.000000
0.020000,2.750646,24.979000,0.000739,0.029545,0.738636,-0.000000,0.000000
0.020000,2.751976,24.979000,0.002068,0.066477,1.846591,55.397727,0.000000
0.020000,2.754339,24.979000,0.004432,0.118182,2.585227,36.931818,0.000000
0.020000,2.758033,24.979000,0.008125,0.184659,3.323864,36.931818,0.000000
0.020000,2.763351,24.979000,0.013443,0.265909,4.062500,36.931818,0.000000
0.020000,2.770589,24.979000,0.020682,0.361932,4.801136,36.931818,0.000000
0.020000,2.780044,24.979000,0.030136,0.472727,5.539773,36.931818,0.000000
0.020000,2.791862,24.979000,0.041955,0.590909,5.909091,18.465909,0.000000
0.020000,2.806044,24.979000,0.056136,0.709091,5.909091,0.000000,0.000000
0.020000,2.822589,24.979000,0.072682,0.827273,5.909091,-0.000000,0.000000
0.020000,2.841498,24.979000,0.091591,0.945455,5.909091,0.000000,0.000000
0.020000,2.862771,24.979000,0.112864,1.063636,5.909091,-0.000000,0.000000
0.020000,2.886408,24.979000,0.136500,1.181818,5.909091,0.000000,0.000000
0.020000,2.912408,24.979000,0.162500,1.300000,5.909091,-0.000000,0.000000
0.020000,2.940771,24.979000,0.190864,1.418182,5.909091,0.000000,0.000000
0.020000,2.971498,24.979000,0.221591,1.536364,5.909091,0.000000,0.000000
0.020000,3.004589,24.979000,0.254682,1.654545,5.909091,-0.000000,0.000000
0.020000,3.040044,24.979000,0.290136,1.772727,5.909091,0.000000,0.000000
0.020000,3.077862,24.979000,0.327955,1.890909,5.909091,-0.000000,0.000000
0.020000,3.118044,24.979000,0.368136,2.009091,5.909091,0.000000,0.000000
0.020000,3.160589,24.979000,0.410682,2.127273,5.909091,-0.000000,0.000000
0.020000,3.205498,24.979000,0.455591,2.245455,5.909091,0.000000,0.000000
0.020000,3.252771,24.979000,0.502864,2.363636,5.909091,-0.000000,0.000000
0.020000,3.302407,24.979000,0.552500,2.481818,5.909091,0.000000,0.000000
0.020000,3.354407,24.979000,0.604500,2.600000,5.909091,0.000000,0.000000
0.020000,3.408771,24.979000,0.658864,2.718182,5.909091,0.000000,0.000000
0.020000,3.465498,24.979000,0.715591,2.836364,5.909091,-0.000000,0.000000
0.020000,3.524589,24.979000,0.774682,2.954545,5.909091,0.000000,0.000000
0.020000,3.586044,24.979000,0.836136,3.072727,5.909091,-0.000000,0.000000
0.020000,3.649862,24.979000,0.899955,3.190909,5.909091,-0.000000,0.000000
0.020000,3.716044,24.979000,0.966136,3.309091,5.909091,0.000000,0.000000
0.020000,3.784589,24.979000,1.034682,3.427273,5.909091,-0.000000,0.000000
0.020000,3.855498,24.979000,1.105591,3.545455,5.909091,0.000000,0.000000
0.020000,3.928771,24.979000,1.178864,3.663636,5.909091,-0.000000,0.000000
0.020000,4.004408,24.979000,1.254500,3.781818,5.909091,-0.000000,0.000000
0.020000,4.082407,24.979000,1.332500,3.900000,5.909091,0.000000,0.000000
0.020000,4.162771,24.979000,1.412864,4.018182,5.909091,-0.000000,0.000000
0.020000,4.245498,24.979000,1.495591,4.136364,5.909091,0.000000,0.000000
0.020000,4.330589,24.979000,1.580682,4.254545,5.909091,-0.000000,0.000000
0.020000,4.418044,24.979000,1.668136,4.372727,5.909091,0.000000,0.000000
0.020000,4.507862,24.979000,1.757955,4.490909,5.909091,0.000000,0.000000
0.020000,4.600044,24.979000,1.850136,4.609091,5.909091,-0.000000,0.000000
0.020000,4.694589,24.979000,1.944682,4.727273,5.909091,0.000000,0.000000
0.020000,4.791498,24.979000,2.041591,4.845455,5.909091,0.000000,0.000000
0.020000,4.890771,24.979000,2.140864,4.963636,5.909091,0.000000,0.000000
0.020000,4.992407,24.979000,2.242500,5.081818,5.909091,-0.000000,0.000000
0.020000,5.096407,24.979000,2.346500,5.200000,5.909091,0.000000,0.000000
0.020000,5.202771,24.979000,2.452864,5.318182,5.909091,-0.000000,0.000000
0.020000,5.311498,24.979000,2.561591,5.436364,5.909091,0.000000,0.000000
0.020000,5.422589,24.979000,2.672682,5.554545,5.909091,0.000000,0.000000
0.020000,5.536044,24.979000,2.786136,5.672727,5.909091,0.000000,0.000000
0.020000,5.651862,24.979000,2.901955,5.790909,5.909091,-0.000000,0.000000
0.020000,5.770044,24.979000,3.020136,5.909091,5.909091,0.000000,0.000000
0.020000,5.890589,24.979000,3.140682,6.027273,5.909091,0.000000,0.000000
0.020000,6.013351,24.979000,3.263443,6.138068,5.539773,-18.465909,0.000000
0.020000,6.138032,24.979000,3.388125,6.234091,4.801136,-36.931818,0.000000
0.020000,6.264339,24.979000,3.514432,6.315341,4.062500,-36.931818,0.000000
0.020000,6.391976,24.979000,3.642068,6.381818,3.323864,-36.931818,0.000000
0.020000,6.520646,24.979000,3.770739,6.433523,2.585227,-36.931818,0.000000
0.020000,6.650055,24.979000,3.900148,6.470455,1.846591,-36.931818,0.000000
0.020000,6.779907,24.979000,4.030000,6.492614,1.107955,-36.931818,0.000000
